service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,1,0,0,20120514,20131231
2,0,0,0,0,1,0,0,20120514,20120826
3,0,0,0,0,1,0,0,20120827,20131231
4,1,1,1,1,0,0,0,20120514,20131231
5,1,1,1,1,0,0,0,20120514,20120826
6,1,1,1,1,0,0,0,20120827,20131231
7,0,0,0,0,0,1,0,20120827,20131231
8,0,0,0,1,0,0,0,20120827,20131231
9,1,1,1,1,1,0,0,20120514,20131231
10,1,1,1,1,1,0,0,20120514,20120826
11,1,1,1,1,1,0,0,20120827,20131231
12,0,0,0,0,0,1,1,20120827,20131231
