shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence
59,-78.519478,38.029265,1
59,-78.519511,38.029303,2
59,-78.519753,38.029401,3
59,-78.519925,38.029440,4
59,-78.520112,38.029462,5
59,-78.520324,38.029463,6
59,-78.520419,38.029619,7
59,-78.520514,38.029674,8
59,-78.520469,38.030367,9
59,-78.520419,38.030366,10
59,-78.520296,38.030466,11
59,-78.519856,38.030455,12
59,-78.519437,38.030527,13
59,-78.519119,38.030609,14
59,-78.518903,38.030761,15
59,-78.518555,38.031169,16
59,-78.518385,38.031431,17
59,-78.518254,38.031670,18
59,-78.518150,38.031990,19
59,-78.517970,38.032050,20
59,-78.517700,38.032650,21
59,-78.517690,38.032720,22
59,-78.517720,38.032820,23
59,-78.517870,38.033070,24
59,-78.517900,38.033150,25
59,-78.517910,38.033240,26
59,-78.517850,38.033560,27
59,-78.517670,38.033970,28
59,-78.517280,38.034640,29
59,-78.517130,38.034790,30
59,-78.516930,38.034940,31
59,-78.516710,38.035010,32
59,-78.515780,38.035100,33
59,-78.514050,38.035220,34
59,-78.513810,38.035230,35
59,-78.513700,38.035220,36
59,-78.513660,38.035210,37
59,-78.513460,38.035090,38
59,-78.512829,38.034680,39
59,-78.512460,38.034530,40
59,-78.511080,38.034030,41
59,-78.510900,38.033980,42
59,-78.510510,38.033860,43
59,-78.510150,38.033770,44
59,-78.509630,38.033730,45
59,-78.508700,38.034230,46
59,-78.508440,38.034920,47
59,-78.507810,38.036590,48
59,-78.507480,38.037510,49
59,-78.507120,38.038510,50
59,-78.506800,38.039450,51
59,-78.506520,38.039550,52
59,-78.506160,38.039520,53
59,-78.505930,38.039240,54
59,-78.505550,38.038550,55
59,-78.505100,38.037630,56
59,-78.504820,38.037340,57
59,-78.504550,38.037160,58
59,-78.504230,38.037030,59
59,-78.503440,38.036760,60
59,-78.501870,38.039450,61
59,-78.502400,38.039630,62
59,-78.503010,38.039660,63
59,-78.503460,38.039760,64
59,-78.504090,38.040020,65
59,-78.504440,38.040070,66
59,-78.504710,38.039950,67
59,-78.505190,38.039320,68
59,-78.505760,38.038920,69
59,-78.506130,38.039520,70
59,-78.506620,38.039820,71
59,-78.505400,38.043440,72
59,-78.505030,38.044360,73
59,-78.509750,38.046390,74
59,-78.510300,38.045460,75
59,-78.510668,38.044942,76
59,-78.510271,38.044749,77
59,-78.510659,38.044278,78
59,-78.510434,38.044052,79
59,-78.510097,38.043922,80
59,-78.508724,38.045944,81
59,-78.509750,38.046390,82
59,-78.511150,38.047080,83
59,-78.511430,38.047280,84
59,-78.511709,38.047550,85
59,-78.511940,38.047850,86
59,-78.512030,38.048010,87
59,-78.512070,38.048190,88
59,-78.512100,38.048940,89
59,-78.512289,38.049300,90
59,-78.512730,38.049750,91
59,-78.513050,38.049970,92
59,-78.512210,38.051230,93
