"stop_id","stop_code","stop_name","stop_lat","stop_lon"
"0#27",11210,"JPA at Maury Avenue",38.026126,-78.514559
"0#28",11688,"Jefferson Prk Ave & Observatory Ave",38.026355,-78.513288
"0#29",11206,"JPA at Observatory Avenue",38.026523,-78.513392
"0#30",11473,"Jefferson Prk Ave & Shamrock Rd",38.027556,-78.511319
"0#31",11172,"JPA at Shamrock Road",38.027631,-78.511588
"0#32",11487,"JPA & Kent Terrace",38.028642,-78.509653
"0#33",11164,"JPA at Montebello Circle",38.028819,-78.50981
"0#34",11140,"JPA opposite Valley Road",38.031019,-78.508358
"0#35",11769,"Engineering School (inbound)",38.031685,-78.511328
"0#36",11603,"Engineering School (outbound)",38.031508,-78.511248
"0#37",10687,"Alderman Road opposite Gooch Houses",38.029072,-78.516357
"0#38",11619,"Alderman Rd & Gooch (outbound)",38.029348,-78.516424
"0#39",11635,"Stadium Rd & Runk",38.028602,-78.518265
"0#40",11867,"Appletree Rd & Stadium Rd",38.028415,-78.519847
"0#41",11657,"Stadium Rd & Mimosa Dr",38.028179,-78.520314
"0#42",11661,"Mimosa Dr (outbound)",38.027179,-78.520824
"0#43",11851,"Mimosa Dr (inbound)",38.027056,-78.520834
"0#45",11880,"Scott Stadium (outbound)",38.029672,-78.514814
"0#46",11879,"Scott Stadium (inbound)",38.029508,-78.514973
"0#47",11234,"Alderman Road at AFC",38.033825,-78.514094
"0#48",11592,"Alderman Rd & Tuttle",38.03398,-78.514261
"0#49",11776,"Alderman Rd & McCormick Rd",38.035253,-78.513882
"0#50",11931,"McCormick Road at Gilmer Hall",38.034809,-78.513184
"0#51",11795,"McCormick Rd Dorms",38.0344,-78.511814
"0#52",11782,"McCormick Road at Chemistry Building",38.034176,-78.511684
"0#53",11898,"McCormick Road at Thornton Hall",38.033683,-78.509262
"0#63",11711,"14th Street NW at Wertland (northbound)",38.03454,-78.499283
"0#64",11724,"14th Street NW at Wertland (southbound)",38.034571,-78.499377
"0#65",11155,"JPA at Cabell Hall",38.03211,-78.505489
"0#66",11690,"JPA & Brandon Ave",38.031987,-78.503272
"0#67",11707,"Jordan Hall",38.032322,-78.500748
"0#275",14339,"Preston Avenue at 10th Street NW",38.039592,-78.491634
"0#277",11833,"Preston Avenue at Madison Avenue (southbound)",38.041475,-78.492237
"0#278",11753,"Madison Ave & Preston Ave",38.041783,-78.4931
"0#280",11730,"14th Street NW at John Street",38.037284,-78.497828
"0#281",11822,"14th Street NW at Virginia Avenue",38.037573,-78.497789
"0#282",16343,"University Avenue at Carr's Hill Field",38.039364,-78.505949
"0#283",16358,"University Ave at Newcomb Road",38.037517,-78.505028
"0#284",12262,"Beta Bridge (outbound)",38.039639,-78.501702
"0#285",12270,"Grady Ave & Rugby Rd  ",38.041621,-78.500463
"0#286",12289,"Grady Ave & 16th St",38.040792,-78.498137
"0#287",12291,"Grady Ave & Preston Pl",38.041093,-78.498633
"0#288",11748,"Madison Ave & Grady Ave",38.040457,-78.49599
"0#290",11954,"Foods of All Nations",38.043005,-78.512092
"0#291",12236,"Alderman Rd & Facillities (inbound)",38.036351,-78.514389
"0#292",12150,"Massie Rd & Nth Emmet St",38.044747,-78.506233
"0#293",12338,"Copeley Rd & Massie Rd(outbound)",38.046948,-78.509227
"0#294",12329,"Copeley Rd & Massie Rd(inbound)",38.046833,-78.509446
"0#295",12166,"Arlington Blvd & Massie Rd",38.050419,-78.507756
"0#296",12121,"Arlington Blvd & Arlington Ct",38.05086,-78.508067
"0#297",12132,"Copeley Student Housing",38.051919,-78.509742
"0#298",12145,"Law School",38.051988,-78.510252
